Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,DEC_ALB,IVM_ALB,PZQ,ALB,MBD,IVM,Impact_DEC_ALB,Impact_IVM_ALB,Impact_PZQ,Impact_ALB,Impact_MBD,Impact_IVM,Total_impact
Afghanistan,33736494,0.0,2017,LF,[],[],{},0.0,1,0.1495,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,0.0,2017,Schist,[],[],{},0.0,1,0.659,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,165.8,2017,Whipworm,[],[],{},0.0864,1,0.7965000000000001,0.7935,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,978.5,2017,Hookworm,[],[],{},0.0173,1,0.7965000000000001,0.7935,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,14783.2,2017,Roundworm,[],[],{},0.2682,1,0.7965000000000001,0.7935,0.848,0.906,0.955,0.9999,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,33736494,0,2017,Onch,[],[],{},0.0,1,0.4586,0.7935,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.0,2017,LF,[],[],{},0.0,1,0.6648999999999999,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.0,2017,Schist,[],[],{},0.0,1,0.5302,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.0,2017,Whipworm,[],[],{},0.0,1,0.6317,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.0,2017,Hookworm,[],[],{},0.0,1,0.6317,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0.5,2017,Roundworm,[],[],{},0.0,1,0.6317,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880703,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,0.0,2017,LF,[],[],{},0.0,1,0.6228,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,808.0,2017,Schist,[],[],{},0.0008,1,0.5141,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,3.3,2017,Whipworm,[],[],{},0.0342,1,0.6822,0.4,0.4718,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,164.0,2017,Hookworm,[],[],{},0.0037,1,0.6822,0.4,0.2943,0.874,0.8699,0.7092,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,112.2,2017,Roundworm,[],[],{},0.0231,1,0.6822,0.4,0.696,0.874,0.9067,0.8483,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,39871528,0,2017,Onch,[],[],{},0.0,1,0.6507,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0.0,2017,LF,[],[],{},0.022000000000000002,1,0.5323,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0.0,2017,Schist,[],[],{},0.0,1,0.7835,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0.0,2017,Whipworm,[],[],{},0.0,1,0.5347,0.662,0.651,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0.0,2017,Hookworm,[],[],{},0.0,1,0.5347,0.662,0.3715,0.949,0.5769,0.3145,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0.0,2017,Roundworm,[],[],{},0.0,1,0.5347,0.662,0.848,0.949,0.9693,0.9305,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,55537,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0.0,2017,LF,[],[],{},0.0,1,0.6648999999999999,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0.0,2017,Schist,[],[],{},0.0,1,0.5302,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0.0,2017,Whipworm,[],[],{},0.0,1,0.6317,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0.0,2017,Hookworm,[],[],{},0.0,1,0.6317,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0.0,2017,Roundworm,[],[],{},0.0,1,0.6317,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,78014,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,27859305,12861.6,2017,LF,['IVM+ALB'],['IVM_ALB'],{'IVM_ALB': 'IVM + ALB'},0.0171,1,0.0528,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,3.47753,0.0,0.0,0.0,0.0,3.478
Angola,27859305,18637.1,2017,Schist,['PZQ'],['PZQ'],{'PZQ': 'PZQ'},0.0662,1,0.2585,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,5439.632,0.0,0.0,0.0,5439.632
Angola,27859305,104.7,2017,Whipworm,[],[],{},0.08,1,0.3872,0.4,0.4718,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,27859305,10990.5,2017,Hookworm,[],[],{},0.0849,1,0.3872,0.4,0.2943,0.874,0.8699,0.7092,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,27859305,1915.1,2017,Roundworm,[],[],{},0.08,1,0.3872,0.4,0.696,0.874,0.9067,0.8483,0.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,27859305,9026.7,2017,Onch,['IVM'],['IVM'],{'IVM': 'IVM'},0.0059,1,0.0416,0.4,0.2943,0.874,0.3816,0.4859,0.839,0.0,0.0,0.0,0.0,0.0,0.06408,0.064
Anguilla,14723,,2017,LF,[],[],{},,1,0.6451,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,14723,,2017,Schist,[],[],{},,1,0.0025,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,14723,,2017,Whipworm,[],[],{},,1,0.5826,0.3465,0.796,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,14723,,2017,Hookworm,[],[],{},,1,0.5826,0.3465,0.7575,0.867,0.869,0.172,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,14723,,2017,Roundworm,[],[],{},,1,0.5826,0.3465,0.9999,0.867,0.9862,0.769,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,14723,,2017,Onch,[],[],{},,1,0.7574,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,0.0,2017,LF,[],[],{},0.0,1,0.6451,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,4.9,2017,Schist,[],[],{},0.0043,1,0.0025,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,0.0,2017,Whipworm,[],[],{},0.043899999999999995,1,0.5826,0.3465,0.796,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,1.6,2017,Hookworm,[],[],{},0.008100000000000001,1,0.5826,0.3465,0.7575,0.867,0.869,0.172,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,0.1,2017,Roundworm,[],[],{},0.022799999999999997,1,0.5826,0.3465,0.9999,0.867,0.9862,0.769,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,99923,0,2017,Onch,[],[],{},0.0,1,0.7574,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,0.0,2017,LF,[],[],{},0.0,1,0.6451,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,0.0,2017,Schist,[],[],{},0.0,1,0.0025,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,3.5,2017,Whipworm,[],[],{},0.04769999999999999,1,0.5826,0.3465,0.796,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,910.1,2017,Hookworm,[],[],{},0.011000000000000001,1,0.5826,0.3465,0.7575,0.867,0.869,0.172,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,91.3,2017,Roundworm,[],[],{},0.0173,1,0.5826,0.3465,0.9999,0.867,0.9862,0.769,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,43417765,0,2017,Onch,[],[],{},0.0,1,0.7574,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,0.0,2017,LF,[],[],{},0.0,1,0.6648999999999999,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,0.0,2017,Schist,[],[],{},0.0,1,0.5302,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,0.0,2017,Whipworm,[],[],{},0.044800000000000006,1,0.6317,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,38.5,2017,Hookworm,[],[],{},0.0123,1,0.6317,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,0.5,2017,Roundworm,[],[],{},0.0141,1,0.6317,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2916950,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,LF,[],[],{},,1,0.6451,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,Schist,[],[],{},,1,0.0025,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,Whipworm,[],[],{},,1,0.5826,0.3465,0.796,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,Hookworm,[],[],{},,1,0.5826,0.3465,0.7575,0.867,0.869,0.172,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,Roundworm,[],[],{},,1,0.5826,0.3465,0.9999,0.867,0.9862,0.769,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aruba,104341,,2017,Onch,[],[],{},,1,0.7574,0.3465,0.7575,0.867,0.3945,0.6,0.3734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0.0,2017,LF,[],[],{},0.0,1,0.5323,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0.0,2017,Schist,[],[],{},0.0,1,0.7835,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0.0,2017,Whipworm,[],[],{},0.0,1,0.5347,0.662,0.651,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0.0,2017,Hookworm,[],[],{},0.0,1,0.5347,0.662,0.3715,0.949,0.5769,0.3145,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0.0,2017,Roundworm,[],[],{},0.0,1,0.5347,0.662,0.848,0.949,0.9693,0.9305,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,23789338,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.662,0.3715,0.949,0.3572,0.4155,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0.0,2017,LF,[],[],{},0.0,1,0.6648999999999999,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0.0,2017,Schist,[],[],{},0.0,1,0.5302,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0.0,2017,Whipworm,[],[],{},0.0,1,0.6317,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0.0,2017,Hookworm,[],[],{},0.0,1,0.6317,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0.0,2017,Roundworm,[],[],{},0.0,1,0.6317,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,8633169,0,2017,Onch,[],[],{},0.0,1,0.7192000000000001,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,9649341,0.0,2017,LF,[],[],{},0.0,1,0.6648999999999999,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,9649341,0.0,2017,Schist,[],[],{},0.0,1,0.5302,0.5144,0.3715,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,9649341,0.0,2017,Whipworm,[],[],{},0.0449,1,0.5279,0.5144,0.5976,0.906,0.4144,0.4692,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,9649341,139.9,2017,Hookworm,[],[],{},0.013300000000000001,1,0.5279,0.5144,0.3715,0.906,0.7614,0.4362,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,9649341,9.9,2017,Roundworm,[],[],{},0.015300000000000001,1,0.5279,0.5144,0.848,0.906,0.9216,0.8866,0.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
