Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
Afghanistan,33736494.0,3666.213248,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,315.6454659,315.6454659
Albania,2880703.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Algeria,39871528.0,285.4719298,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},5392.0,1,0.8556999999999999,0.8583,789.6963344,789.6963344
American Samoa,55537.0,0.198170873,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Andorra,78014.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Angola,27859305.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Anguilla,14723.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Antigua and Barbuda,99923.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Argentina,43417765.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Armenia,2916950.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Aruba,104341.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Australia,23789338.0,2.225940666,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},20123.0,1,0.4573,0.7895,1.257797454,1.257797454
Austria,8633169.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Azerbaijan,9649341.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Bahamas,386838.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bahrain,1371855.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.1157,0.6853,0.0,0.0
Bangladesh,161200886.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Barbados,284217.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Belarus,9489616.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Belgium,11274196.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Belize,359288.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Benin,10575952.0,367.2860843,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1112343.0,1,0.9745,0.8583,1877.793346,1877.793346
Bermuda,65235.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bhutan,787386.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.7895,0.0,0.0
Bolivia,10724705.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
"Bonaire, Saint Eustatius and Saba",,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Bosnia and Herzegovina,3535961.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Botswana,2209197.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Brazil,205962108.0,88.51,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},4943337.0,1,0.006500000000000001,0.7895,0.4568447869,0.4568447869
British Virgin Islands,30113.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Brunei Darussalam,417542.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Bulgaria,7177991.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Burkina Faso,18110624.0,847.6550643,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,416.0785934,416.0785934
Burundi,10199270.0,61.00421354,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1861943.0,1,0.3836,0.8583,29.94442956,29.94442956
Cambodia,15517635.0,67.95716869,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3122,0.7895,0.0,0.0
Cameroon,22834522.0,250.667552,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,123.042269,123.042269
Canada,35848610.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Cape Verde,532913.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Cayman Islands,59963.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Central African Republic,4546100.0,151.1585971,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},2590015.0,1,0.318,0.8583,56.75991895,56.75991895
Chad,14009413.0,905.0427399,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},4853178.0,1,0.9173,0.8583,3350.372849,3350.372849
