disease,year,country,state,regimen,drug,company,group1,group2,group3,drug_weight,regimen_weight,drug_impact
Trachoma,2013,Afghanistan,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,255.619
Trachoma,2013,Algeria,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,731.757
Trachoma,2013,Australia,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1.338
Trachoma,2013,Benin,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1853.256
Trachoma,2013,Brazil,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.557
Trachoma,2013,Burkina Faso,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,351.981
Trachoma,2013,Burundi,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,28.442
Trachoma,2013,Cameroon,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,107.998
Trachoma,2013,Central African Republic,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,63.161
Trachoma,2013,Chad,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,2820.439
Trachoma,2013,Colombia,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,18.534
Trachoma,2013,Democratic Republic of the Congo,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,108.715
Trachoma,2013,Egypt,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,52.714
Trachoma,2013,Eritrea,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,112.369
Trachoma,2013,Ethiopia,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,58041.969
Trachoma,2013,Fiji,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1.965
Trachoma,2013,Guatemala,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.242
Trachoma,2013,Guinea,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,2908.615
Trachoma,2013,Guinea-Bissau,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,68.903
Trachoma,2013,India,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,30800.196
Trachoma,2013,Kenya,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,41.311
Trachoma,2013,Kiribati,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,3.114
Trachoma,2013,Malawi,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,187.228
Trachoma,2013,Mali,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,392.381
Trachoma,2013,Mauritania,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,21.721
Trachoma,2013,Mozambique,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,70.129
Trachoma,2013,Nauru,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.008
Trachoma,2013,Niger,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1376.842
Trachoma,2013,Nigeria,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,6084.112
Trachoma,2013,Pakistan,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,23144.034
Trachoma,2013,Papua New Guinea,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,146.317
Trachoma,2013,Peru,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.366
Trachoma,2013,Senegal,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.816
Trachoma,2013,Solomon Islands,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,4.188
Trachoma,2013,South Sudan,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.8
Trachoma,2013,Sudan,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1.734
Trachoma,2013,Uganda,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,1.609
Trachoma,2013,Vanuatu,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.346
Trachoma,2013,Viet Nam,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,6371.87
Trachoma,2013,Yemen,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,34.966
Trachoma,2013,Zambia,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,0.6
Trachoma,2013,Zimbabwe,Trachoma,AZM,Azithromycin,Pfizer,,,,1,1,113.016
