,Reference,Schisto. Type,Country,Drug,Number,Dosage,Sample Size,Age,Sex (M:F),Year,Inclusion Criteria,Blind/Double Blind,Study Type,Followup/Endpoint,Cure Rate,Egg Reduction Rate,Conclusion,Notes,Reference,URL,x = exclude,,,,,,,,,,,,,,,,
Key colours,,Missing data,Unchecked,,,,Less than 30,,Unusual patient group,Older than 2000,,No blind,Non-RCT,,,,,,,,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Two,15 mg/kg,170,over 15,data not available,1988,adults with S. mansoni infection as determined by Kato smear,No,No,"Cure rate 6 months,",98%,62.1%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Two,10 mg/kg ,170,over 15,data not available,1988,adults with S. mansoni infection as determined by Kato smear,No,No,"Cure rate 6 months,",88%,56.8%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Single,10 mg/kg ,170,over 15,data not available,1988,adults with S. mansoni infection as determined by Kato smear,No,No,"Cure rate 6 months,",73%,57.1%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Two,15 mg/kg  ,126,5- 15,data not available,1988,children with S. mansoni infection as determined by Kato smear,No,No,Cure rate 6 months and 8 months,36%,62.1%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Two,10 mg/kg,126,5- 15,data not available,1988,children with S. mansoni infection as determined by Kato smear,No,No,Cure rate 6 months and 8 months,58.00%,56.8%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",,,,,,,,,,,,,,,,,,
"Abdel Rahim IM, 1988","Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.",s. mansoni,Sudan,Oxamniquine,Single,10 mg/kg ,126,5- 15,data not available,1988,children with S. mansoni infection as determined by Kato smear,No,No,Cure rate 6 months and 8 months,63%,57.1%,Total doses of 40 and 60 mg/kg b.w.t. were equally effective in producing  initial cure. To reduce the cost of chemotherapy it is suggested that a total dose of 40 mg/kb b.w.t. should be employed for radical cure of S. mansoni infections and a total dose of 20 mg/kb b.w.t. be onsidered for mass chemotherapy.,,"Abdel-Rahim, I.M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A field evaluation of three dose levels of oxamniquine in Gezira--Sudan."" East African medical journal 65.11 (1988): 771-777. Web.","Abdel-Rahim, I. M.; Haridi, A.A.M.; Abdel-Hameed, A.A. ""A Field Evaluation of Three-Dose Levels in Gezira-Sudan"". ""A Field Evaluation of Three Dose Levels of Oxamniquine in Gezira - Sudan"". 1988. East African Medical Journal 65(11): 771-777. Web. ",,,,,,,,,,,,,,,,,
"Ayele T, 1984",Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,s. mansoni,South America,Oxamniquine ,Two,15 mg/kg ,14,>15 years ,data not available,1984,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,Yes,Yes,Cure rate 3 months with modified Kato-Katz thick smear of egg reduction rate,100%,100%,Optimal clinical cures can be achieved.  ,Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia,Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,,,,,,,,,,,,,,,,
"Ayele T, 1984",Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,s. mansoni,South America,Oxamniquine ,Two,20 mg/kg,14,>15 years,data not available,1984,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,Yes,Yes,3 months ,100%,100%,Optimal clinical cures can be achieved.  ,Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia,Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,,,,,,,,,,,,,,,,
"Ayele T, 1984",Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,s. mansoni,South America,Oxamniquine ,Two,30 mg/kg,15,>15 years,data not available,1984,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,Yes,Yes,3 months ,86.70%,73.70%,Optimal clinical cures can be achieved.  ,Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia,Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,,,,,,,,,,,,,,,,
"Ayele T, 1984",Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,s.mansoni,South America,Placebo,Single,Placebo,6,>15 years,data not available,1984,adolescents and adults aged over 15 years with a geometric mean of 200 EPG or above,Yes,Yes,3 months,0.00%, increase 59%,Optimal clinical cures can be achieved.  ,Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia,Ayele T. Preliminary clinical trial of oral oxamniquine in the treatment of Schistosoma mansoni in Ethiopia. East African Medical Journal 1984;61(8):632–6.,,,,,,,,,,,,,,,,,,
"Barakat R, 2005","Barakat, R.; Elmorshedy, H.; Fenwick, A. ""Efficacy of Myrrh in the Treatment of Human Schistosomiasis Mansoni"". Trop. Med. Hyg. 2005. 73(2): 365-367. Web.",s. mansoni,Egypt,Myrhh,Two,2 Capsules ,45,5-44,18:27,2005,vilagers presenting with S.mansoni infection as determined by examination of stool samples (2 Kato slides from each sample),Yes,Yes,6 weeks,8.90%,28%,"The control intervention included treatment with albendazole 400 mg and praziquantel 40 mg/kg as well as awareness campaigns. Post-interventional assessment showed the total prevalence of intestinal parasitic infection reduced from 61.6 to 3.6% with a cure rate of 94.2%, following the control methods.",,"Barakat, R.; Elmorshedy, H.; Fenwick, A. ""Efficacy of Myrrh in the Treatment of Human Schistosomiasis Mansoni"". Trop. Med. Hyg. 2005. 73(2): 365-367. Web.",,,,,,,,,,,,,,,,,,
"Barakat R, 2005","Barakat, R.; Elmorshedy, H.; Fenwick, A. ""Efficacy of Myrrh in the Treatment of Human Schistosomiasis Mansoni"". Trop. Med. Hyg. 2005. 73(2): 365-367. Web.",s. mansoni,Egypt ,Praziquantel,Two,40 mg/kg ,38,5-44,17:21,2005,Vilagers presenting with S.mansoni infection as determined by examination of stool samples (2 Kato slides from each sample),Yes,Yes,6 weeks,76.30%,88.20%,"The control intervention included treatment with albendazole 400 mg and praziquantel 40 mg/kg as well as awareness campaigns. Post-interventional assessment showed the total prevalence of intestinal parasitic infection reduced from 61.6 to 3.6% with a cure rate of 94.2%, following the control methods.",,"Barakat, R.; Elmorshedy, H.; Fenwick, A. ""Efficacy of Myrrh in the Treatment of Human Schistosomiasis Mansoni"". Trop. Med. Hyg. 2005. 73(2): 365-367. Web.",,,,,,,,,,,,,,,,,,
"Borrmann S, 2001","Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",s. haematobium,Gabon,Artesunate & Placebo,Single,8 mg/kg; 4 mg/kg ,90,5 to 13,45 : 45,2001,"School children with presence of Schistome eggs. Exclusion criteria were symptomatic schistosomiasis, recent adequate treatment for schistosomiasis, serious underlying diseases, pregnancy or lactation, and hemoglobin level <7 g/dL",Yes,Yes,8 weeks,27%,,The present study clearly underline the importance of a continued effort toward the development of new drugs for the treatment of schistosomiasis.,,"Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",,,,,,,,,,,,,,,,,,
"Borrmann S, 2001","Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",s. haematobium,Gabon,Praziquantel & Placebo,Single; Three,40 mg/kg; Placebo,90,5 to 13,47 : 43,2001,"School children with presence of Schistome eggs. Exclusion criteria were symptomatic schistosomiasis, recent adequate treatment for schistosomiasis, serious underlying diseases, pregnancy or lactation, and hemoglobin level <7 g/dL",Yes,Yes,8 weeks,73%,,The present study clearly underline the importance of a continued effort toward the development of new drugs for the treatment of schistosomiasis.,,"Borrmann, Steffen, et al. ""Artesunate and praziquantel for the treatment of Schistosoma haematobium infections: a double-blind, randomized, placebo-controlled study."" Journal of Infectious Diseases 184.10 (2001): 1363-1366.",,,,,,,,,,,,,,,,,,
