Country,WHO Region,Population,LF DALYs,Schist DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,Unnamed: 14,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,SCHIST Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84
,,,Total,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,"Input to make model identical to 2013, 2015",Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,14842.84%,STH SAC Treatment Coverage,10631.67%,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,"This col was input to make placement of data identical to 2013, 2015 for SA",Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB
,,,,,,,,,,,,,,,,,Global Average,40.13%,Global Average,42.35%,Global Average,61.26%,Global Average,43.00%,,,,,,,5-14 years,1.93%,2.97%,1.40%,2.20%,2.74%,6.58%,, ,35.74%,,51.37%,,37.15%,,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,79.24%,Original,51.15%,Original,Estimated,Original,Estimated,Original,Estimated,,,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,"2,893.19","1,180.65",0.00,"2,263.50",327.57,"3,883.77","12,564.85",116.47,"187,614.53","1,209.00","161,622.00"
Afghanistan,EMR,"28,803,167",0.00,0.00,36.38356181,177.1500265,213.5335883,89.4232686,137.805145,227.23,"3,861.20","9,079.47",12940.66993,,,,,32.11%,,59.49%,100.00%,100.00%,30.63%,30.63%,,,,,0.00%,0.00%,0.00%,7.25%,11.35%,0.43%,0.70%,0.00%,43.80%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Albania,EUR,"2,913,021",0.00,0.00,0,0,0,0,0,0,0.844935789,0.713633379,1.558569169,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Algeria,AFR,"36,117,637",0.00,"5,615.93",0.352621086,1.222264912,1.574885998,0.21504442,0.16197697,0.38,89.98,67.13191658,157.1119406,,,,,17.16%,,25.20%,,72.67%,,43.42%,,,,,0.00%,1.00%,0.18%,1.44%,2.22%,0.00%,0.00%,3.00%,5.08%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
American Samoa,WPR,"55,637",121.68,0.00,0,0,0,0,0,0,0,0,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,4.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Andorra,EUR,"84,449",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Angola,AFR,"23,369,131","21,679.42","28,347.68",146.5138063,525.6568869,672.17,"1,558.51","3,829.15","5,387.66","11,871.54","2,009.57","13,881",,"12,090,000",,0.00%,17.16%,,25.20%,,72.67%,,43.42%,,,,,0.00%,11.00%,3.56%,11.15%,17.32%,10.20%,16.17%,12.00%,19.04%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0,7831.672,,,,,,,,
Anguilla,AMR,"16,373",0.00,0.00,,,0,0,0,0,,,0,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Antigua and Barbuda,AMR,"94,661",0.00,19.50,0,0,0,0.0003692,0.00058246,0.000951657,0.040224555,0.012817088,0.053041643,,,,,14.55%,,39.44%,,36.16%,,50.16%,,,,,0.00%,3.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
