Country,WHO Region,Population,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch,Unnamed: 86
,,,Total,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,,,,,,,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,Ivermectin,Ivermectin,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM,
,,,,,,,,,,,,,,,,,Global Average,52.62%,Global Average,42.35%,Global Average,65.08%,Global Average,55.99%,,,100.00%,62.96%,,,5-14 years,1.92%,6.20%,1.43%,5.48%,2.52%,3.94%,,Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,Original,Estimated,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,961.48,920.51,0.00,"2,753.48","1,220.43",723.60,"9,280.15","1,343.28","18,701.03",10.56,"5,000.95","1,979.86",
Afghanistan,EMR,"31,731,688",0.00,0,39.46233537,187.8875255,227.3498608,96.2724471,152.652758,248.93,"4,326.82","10,026.64","14,353.46",0,,,,47.14%,,59.49%,,92.16%,69.94%,69.94%,,,,31.22%,0.00%,0.00%,0.00%,7.23%,11.31%,0.43%,0.70%,29.21%,43.78%,0.00%,,35.74%,,79.35%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,93.08%,,50.13%,,95.50%,,100.00%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
Albania,EUR,"2,895,092",0.00,0,0,0,0,0,0,0,0.654818762,0.405300656,1.06,0,,,,52.62%,,34.68%,,100.00%,,100.00%,,,,62.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,35.74%,,51.37%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,78.96%,,50.13%,,92.16%,,92.96%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
Algeria,AFR,"38,338,562",0.00,5580.508451,0.325843014,1.176086565,1.501929579,0.21426964,0.18758945,0.40,75.01,68.24546791,143.26,0,,,,25.90%,,25.20%,,81.15%,,56.68%,,,,65.53%,0.00%,1.00%,0.17%,1.45%,2.20%,0.00%,0.00%,3.32%,5.06%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,56.76%,,47.18%,,80.18%,,70.92%,,90.67%,,93.59%,,100.00%,,83.90%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
American Samoa,WPR,"55,307",133.03,0,0,0,0,0,0,0,0,0,0.00,0,,,,40.36%,,62.60%,,38.08%,,39.71%,,,,62.96%,4.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
Andorra,EUR,"80,788",0.00,0,0,0,0,0,0,0,0,0,0.00,0,,,,52.62%,,34.68%,,100.00%,,100.00%,,,,62.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,35.74%,,51.37%,,37.15%,,90.6%,,39.33%,,50.18%,,59.76%,,78.96%,,50.13%,,92.16%,,92.96%,,100.00%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
Angola,AFR,"25,998,340","24,122.74",27487.79761,161.5427503,579.5724919,741.12,"1,755.86","4,058.70","5,814.55","7,335.86","1,758.55","9,094.41",6995.377847,"12,090,000",,0.00%,25.90%,,25.20%,,81.15%,,56.68%,"2,540,933.00",No data,,65.53%,3.05%,11.00%,3.09%,11.14%,17.32%,10.19%,16.17%,12.20%,18.97%,0.51%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,56.76%,,47.18%,,80.18%,,70.92%,,90.67%,,93.59%,,100.00%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,60.70293904,7594.11,,,,,,,,,1.452557379,0.0
Anguilla,AMR,"13,864",0.00,0,,,0,0,0,0,,,0.00,0,,,,22.88%,,39.44%,,54.25%,,65.07%,,,,34.90%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
Antigua and Barbuda,AMR,"97,824",0.00,20.36703882,0,0,0,0.00033152,0.00052559,0.000857115,0.035178157,0.011560866,0.05,0,,,,22.88%,,39.44%,,54.25%,,65.07%,,,,34.90%,0.00%,3.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,,0.0
