                   ,WHO Region,WHO Region.1,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
,,,,,,,,,,,,,,,,,60.71%,66.49%,Global Average,53.02%,Global Average,68.22%,Global Average,65.15%,,,Global Average,71.92%,,,5-14 years,1-4 years,5-14 years,1-4 years,5-14 years,1-4 years,5-14years,,,36.09%,,50.95%,,42.67%,Original,Estimated,Original,39.98%,Original,48.76%,Original,62.22%,Original,77.52%,Original,40.62%,Original,93.90%,Original,87.74%,Original,84.80%,Original,70.52%,1 if endemic,1 if endemic,1 if endemic,"2 if high, 1 if low",,,,,,848.08,"6,819.48",0.00,"1,323.42",292.16,"1,475.22",115.92,0.14,"100,726.73",516.54,"111,026.28",430.97
Afghanistan,EMR,"33,736,494",0.0,0.0,11.4,64.0,165.8,88.8,293.9,978.5,3831.7,6286.5,14783.2,0,,,,14.95%,,65.90%,100.00%,100.00%,79.65%,79.65%,,,,45.86%,0.00%,0.00%,0.00%,2.63%,8.64%,1.37%,1.73%,22.36%,26.82%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Albania,EUR,"2,880,703",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Algeria,AFR,"39,871,528",0.0,808.0,0.1,0.4,3.3,7.9,26.0,164.0,30.5,28.3,112.2,0,,,,62.28%,,51.41%,,76.05%,,68.22%,,,,65.07%,0.00%,0.08%,0.01%,1.08%,3.42%,0.30%,0.37%,2.00%,2.31%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
American Samoa,WPR,"55,537",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1172.329624,,,53.23%,,78.35%,,35.94%,,53.47%,,,,71.92%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Andorra,EUR,"78,014",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Angola,AFR,"27,859,305",12861.6,18637.1,7.3,41.5,104.7,1013.6,3074.8,10990.5,1573.2,255.7,1915.1,9026.7,"471,561",89235,5.28%,5.28%,25.85%,25.85%,,76.05%,38.72%,38.72%,"5,561,326.00","231,106",4.16%,4.16%,1.71%,6.62%,1.15%,2.28%,8.00%,7.00%,8.49%,6.73%,8.00%,0.59%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,3.477525916,5319.627,,,,,,,,,0.06407526119
Anguilla,AMR,"14,723",,,,,,,,,,,,,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,,,,,,,,,,,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Antigua and Barbuda,AMR,"99,923",0.0,4.9,0.0,0.0,0.0,0.0,0.2,1.6,0.1,0.0,0.1,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.43%,0.01%,1.39%,4.39%,0.67%,0.81%,1.99%,2.28%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
