Country,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
,,,,,,,,30.62%,44.75%,Male,Female,Total,Original,Estimated,1 if Endemic,"137,734.51"
Afghanistan,EMR,"33,736,494",1275.87439,2390.338858,3666.213248,,,,11.57%,0.0006418193537,0.001157016907,0.0008959317806,,68.53%,1,315.6454659
Albania,EUR,"2,880,703",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Algeria,AFR,"39,871,528",119.9371378,165.534792,285.4719298,5392,4614,85.57%,85.57%,0.00005121976293,0.00007917795356,0.00006523744766,,85.83%,1,789.6963344
American Samoa,WPR,"55,537",0.071064198,0.127106675,0.198170873,,,,31.22%,0.0000236022209,0.00004177738826,0.00003272493602,,78.95%,0,0
Andorra,EUR,"78,014",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Angola,AFR,"27,859,305",0,0,0,0,72,,38.36%,0,0,0,,85.83%,0,0
Anguilla,AMR,"14,723",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Antigua and Barbuda,AMR,"99,923",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Argentina,AMR,"43,417,765",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Armenia,EUR,"2,916,950",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Aruba,AMR,"104,341",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Australia,WPR,"23,789,338",0.929976744,1.295963922,2.225940666,20123,"9,202.00",45.73%,45.73%,0.000001248641069,0.000001627657247,0.000001443528861,,78.95%,1,1.257797454
Austria,EUR,"8,633,169",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Azerbaijan,EUR,"9,649,341",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Bahamas,AMR,"386,838",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bahrain,EMR,"1,371,855",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Bangladesh,SEA,"161,200,886",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Barbados,AMR,"284,217",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Belarus,EUR,"9,489,616",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belgium,EUR,"11,274,196",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belize,AMR,"359,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Benin,AFR,"10,575,952",118.6418232,248.644261,367.2860843,1112343,1083924,97.45%,97.45%,0.0003372480636,0.0006807628063,0.0005138336007,,85.83%,1,1877.793346
Bermuda,AMR,"65,235",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bhutan,SEA,"787,386",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Bolivia,AMR,"10,724,705",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
"Bonaire, Saint Eustatius and Saba",AMR,,0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bosnia and Herzegovina,EUR,"3,535,961",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Botswana,AFR,"2,209,197",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Brazil,AMR,"205,962,108",67.95846733,20.55,88.51,4943337,32150,0.65%,0.65%,0.00001259076214,0.000001959922305,0.00000710350787,,78.95%,1,0.4568447869
British Virgin Islands,AMR,"30,113",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Brunei Darussalam,WPR,"417,542",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Bulgaria,EUR,"7,177,991",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Burkina Faso,AFR,"18,110,624",347.5988929,500.0561714,847.6550643,0,0,,38.36%,0.0006189500655,0.001011948951,0.0008219197919,,85.83%,1,416.0785934
Burundi,AFR,"10,199,270",38.1949869,22.80922664,61.00421354,1861943,0,0.00%,38.36%,0.0001127187473,0.00004934794515,0.00008052575324,,85.83%,1,29.94442956
Cambodia,WPR,"15,517,635",24.42987445,43.52729424,67.95716869,0,0,,31.22%,0.00002120288766,0.00003728872117,0.00002951234114,,78.95%,0,0
Cameroon,AFR,"22,834,522",96.12164592,154.5459061,250.667552,0,0,,38.36%,0.00006260091338,0.0001048184003,0.00008401286668,,85.83%,1,123.042269
Canada,AMR,"35,848,610",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cape Verde,AFR,"532,913",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cayman Islands,AMR,"59,963",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Central African Republic,AFR,"4,546,100",56.41976424,94.73883284,151.1585971,2590015,823749,31.80%,31.80%,0.0001524339588,0.0002516430531,0.0002026578895,,85.83%,1,56.75991895
Chad,AFR,"14,009,413",542.3295361,362.7132038,905.0427399,4853178,4451654,91.73%,91.73%,0.0007860724122,0.0005502072288,0.0006661221728,,85.83%,1,3350.372849
Chile,AMR,"17,762,681",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
China,WPR,"1,371,220,000",5352.161117,"5,811.03","11,163.19",0,0,,31.22%,0.00006669840431,0.00007651982289,0.00007157030394,,78.95%,0,0
"China, Hong Kong SAR",WPR,"7,305,700",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
"China, Macao SAR",WPR,"600,942",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Colombia,AMR,"48,228,697",74.25368822,66.38,140.6320106,153567,"23,629.00",15.39%,15.39%,0.00002625712259,0.00002309741166,0.0000246204432,,78.95%,1,19.44725119
Comoros,AFR,"777,424",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Congo,AFR,"4,995,648",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Cook Islands,WPR,"18,800",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Costa Rica,AMR,"4,807,852",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cote d'Ivoire,AFR,"23,108,472",0,0,0,0,997442,,38.36%,0.0001176968771,0.0001567095789,0.0001366894748,,85.83%,0,0
Croatia,EUR,"4,203,604",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Cuba,AMR,"11,461,432",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Curacao,AMR,"157,979",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Cyprus,EUR,"1,160,985",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Czech Republic,EUR,"10,546,059",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Democratic People's Republic of Korea,SEA,"25,243,917",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Democratic Republic of the Congo,AFR,"76,196,619",277.0735726,552.74,829.81,7096441,1027046,14.47%,14.47%,0.00005021747242,0.0001014541331,0.00007592369387,,85.83%,1,117.7041714
Denmark,EUR,"5,683,483",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Djibouti,EMR,"927,414",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Dominica,AMR,"73,162",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Dominican Republic,AMR,"10,528,394",0,0,0,0,1027046,,4.12%,0,0,0,,78.95%,0,0
Ecuador,AMR,"16,144,368",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Egypt,EMR,"93,778,172",452.8141898,490.23,943.0450744,1736759,0,0.00%,11.57%,0.00008150515154,0.0001081451852,0.00009463772933,0.47,47.00%,1,54.21482596
El Salvador,AMR,"6,312,478",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Equatorial Guinea,AFR,"1,175,389",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Eritrea,AFR,,55.15787451,38.19973023,93.35760474,1076700,743984,69.10%,69.10%,0.0001287517395,0.0001373096182,0.000133044885,,85.83%,1,136.0762737
Estonia,EUR,"1,315,407",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Ethiopia,AFR,"99,873,033",15453.68667,"19,711.66","35,165.35",69802693,"49,870,966",71.45%,71.45%,0.004957434533,0.006055838678,0.005504684176,,85.83%,1,55757.93455
Fiji,WPR,"892,149",2.275340554,3.806126753,6.081467307,911449,0,0.00%,31.22%,0.0000514634815,0.00008556064577,0.00006837991508,,78.95%,1,1.989676568
Finland,EUR,"5,479,531",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
France,EUR,"66,624,068",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
French Polynesia,WPR,"277,690",0,0,0,,,,31.22%,0,0,0,,78.95%,0,0
Gabon,AFR,"1,930,175",0,0,0,,,,38.36%,0,0,0,,85.83%,0,0
Gambia,AFR,"1,977,590",20.00972876,39.00805634,59.0177851,0,74,,38.36%,0.0002673563553,0.0004821124656,0.0003773250706,0.83,83.00%,0,0
