Country,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male ,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
,,,,,,,,30.62%,44.75%,Male,Female,Total,Original,Estimated,1 if Endemic,"136,170.55"
Afghanistan,EMR,"33,736,494",886.0268998,1714.253,2600.279759,,,,11.57%,0.000358702,0.000693829,0.00052407,,68.53%,1,223.8730975
Albania,EUR,"2,880,703",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Algeria,AFR,"39,871,528",106.6740902,144.7011,251.3751967,5392,4614,85.57%,85.57%,0.0000425,0.0000647,0.0000537,,85.83%,1,695.3750988
American Samoa,WPR,"55,537",0.063555847,0.117634,0.18119026,,,,31.22%,0.0000207,0.000037,0.0000289,,78.95%,0,0
Andorra,EUR,"78,014",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Angola,AFR,"27,859,305",0,0,0,0,72,,38.36%,0,0,0,,85.83%,0,0
Anguilla,AMR,"14,723",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Antigua and Barbuda,AMR,"99,923",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Argentina,AMR,"43,417,765",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Armenia,EUR,"2,916,950",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Aruba,AMR,"104,341",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Australia,WPR,"23,789,338",1.035316366,1.428598,2.463914072,20123,"9,202.00",45.73%,45.73%,0.00000131,0.00000169,0.0000015,,78.95%,1,1.3922675
Austria,EUR,"8,633,169",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Azerbaijan,EUR,"9,649,341",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Bahamas,AMR,"386,838",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bahrain,EMR,"1,371,855",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Bangladesh,SEA,"161,200,886",0.00,0.00,0.00,,,,44.75%,0,0,0,,78.95%,0,0
Barbados,AMR,"284,217",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Belarus,EUR,"9,489,616",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belgium,EUR,"11,274,196",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Belize,AMR,"359,288",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Benin,AFR,"10,575,952",118.4276422,242.988,361.4156553,1112343,1083924,97.45%,97.45%,0.000240668,0.000473306,0.00035997,,85.83%,1,1847.780087
Bermuda,AMR,"65,235",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bhutan,SEA,"787,386",0,0,0,,,,44.75%,0,0,0,,78.95%,0,0
Bolivia,AMR,"10,724,705",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
