#N/A,WHO Region,Population,Trachoma DALYs,,,Trachoma Treatment Coverage,,,,Prevalence %,,,Trachoma Efficacy,,Treatment Guidelines,Impact
,,,Male,Female,Total,Prevalence,Number Treated,Trachoma Treatment Coverage,Estimated Trachoma Treatment Coverage,Trachoma,Trachoma,Trachoma,Azithromycin,,Trachoma,Azithromycin
,,,,,,,,30.62%,44.75%,Male,Female,Total,Original,Estimated,1 if Endemic,"162,179.73"
Afghanistan,EMR,"33,736,494",598.543662,757.864814,1356.40848,,,,11.57%,0.000301805,0.000599,0.000448734,,68.53%,1,116.7810374
Albania,EUR,"2,880,703",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Algeria,AFR,"39,871,528",946.149591,1342.89514,2289.04473,5392,4614,85.57%,85.57%,0.0000399,0.0000613,0.0000506,,85.83%,1,6332.147031
American Samoa,WPR,"55,537",0,0,0,,,,31.22%,0.000021,0.0000384,0.0000298,,78.95%,0,0
Andorra,EUR,"78,014",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Angola,AFR,"27,859,305",0,0,0,0,72,,38.36%,0,0,0,,85.83%,0,0
Anguilla,AMR,"14,723",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Antigua and Barbuda,AMR,"99,923",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Argentina,AMR,"43,417,765",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Armenia,EUR,"2,916,950",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Aruba,AMR,"104,341",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Australia,WPR,"23,789,338",111.069425,196.559158,307.628584,20123,"9,202.00",45.73%,45.73%,0.00000134,0.00000172,0.00000153,,78.95%,1,173.8296333
Austria,EUR,"8,633,169",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Azerbaijan,EUR,"9,649,341",0,0,0,,,,44.75%,0,0,0,,89.58%,0,0
Bahamas,AMR,"386,838",0,0,0,,,,4.12%,0,0,0,,78.95%,0,0
Bahrain,EMR,"1,371,855",0,0,0,,,,11.57%,0,0,0,,68.53%,0,0
Bangladesh,SEA,"161,200,886",0.00,0.00,0.00,,,,44.75%,0,0,0,,78.95%,0,0
